Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
228,50,58.76,58.8,50.02,50.8,70.71,70.4,84.22,82.3,79.77,70.56,57.09,58.84,92.14,30.34,62.8,-1.012,78.29,63.4,15.69,0.7934,52.97,5.197,0.6766,163.7,215.1,9.3,4.1,41.6,36.7,86.3,97.8,8.8,47.5,5.9,115.7,29.4,60.9,61,59,4.303,1.328,8.534,20,0,116.4,112.7,134,96.6,11.6,7.9,40,0,100,80,45,56,63,58.23,66.59,70.73,64.7,87.06,62.38,-1.547
230,50,58.35,57.9,50.96,50.4,69.4,68.7,81.15,80.2,76.91,69.09,57.63,58.31,80.58,29.11,53.61,-2.14,66.59,60.1,6.187,-0.309,53.61,4.367,0.8051,164.6,216.4,8.3,4.7,42.1,37.2,84.9,95.3,10.5,48.2,6.1,116.7,31.7,58.6,63,60,4.414,1.558,8.428,20,0,116.2,112.4,133,95,11.6,7.5,50,0,100,80,45,56,63,58.23,64.5,60.46,59.99,111.3,148.5,-19.91
232,50,56.46,56.5,49.9,49.8,67.84,66.8,78.57,77.1,75.14,67.53,56.11,56.63,73.55,23.49,52.2,-2.14,58.95,55.79,4.69,1.529,48.35,4.287,0.8202,164.6,215.5,7.7,4.4,42.1,37.2,81.5,89.4,8.8,47.8,5.5,115.6,34.2,52.2,56,54,-2.954,-1.142,9.084,20,0,116,112.2,130.5,92.3,10.3,6.7,50,0,100,80,45,56,63,58.23,63.81,58.9,57.94,101,112.5,-11.34
234,50,55.97,56.1,50.27,50.6,66.21,65.3,75.34,74.1,72.52,65.73,55.7,56.14,62.55,19.27,46.55,-3.26,51.26,48.84,3.956,1.531,43.58,4.136,0.8501,164.4,215.6,8.4,4.1,42,37.1,78.2,83.9,7.9,48.3,6.2,116.2,38,46.8,51,49,3.888,1.768,9.675,20,0,115.6,111.8,129.5,91.6,8.7,5.7,40,0,100,80,45,56,52,58.23,63.11,58.29,57.41,94.66,94.95,-8.094
236,50,55.93,56,50.18,50,65.51,65.1,74.44,73.9,71.91,65.28,55.66,56.02,61.35,17.36,45.57,-1.582,51.53,49.11,3.215,0.7938,43.61,4.154,0.8463,165,215.2,8.1,4.3,42,37.1,78.2,83.9,9,48.3,6.3,116.2,38,46.7,51,49,9.085,4.212,9.675,20,0,115.3,111.6,129.5,91,8.8,5.9,50,0,100,80,45,56,48,58.19,64.34,58.04,57.12,67.7,77.16,-12.8
238,50,55.73,55.8,50.02,50,65.39,65.1,74.23,73.9,71.87,65.24,55.5,55.86,60.49,16.15,45.35,-1.014,51.55,49.48,3.239,1.169,43.61,4.156,0.846,164.2,216.8,7.9,4,42.1,37.2,77.9,83.4,9.2,48.3,6.3,116.2,37.8,46.2,51,49,12.19,5.732,9.675,20,0,115.1,111.1,128.5,90.3,8.8,5.8,50,0,100,80,45,56,48,58.23,64.38,57.8,56.96,63,77.73,-14.96
240,50,55.6,55.8,49.9,50,65.39,65.3,74.11,73.8,71.91,65.2,55.33,55.73,59.61,15.02,45.88,-1.293,50.89,48.48,3.563,1.155,43.65,4.099,0.8577,164.1,214,7.9,4.4,42.1,37.2,78.2,83.9,9,48,6,116,37.5,46.8,51,49,12.98,6.194,9.675,20,0,114.9,111.3,130,92.6,8.7,5.6,50,0,100,80,45,56,52,58.27,64.83,57.67,56.84,54.94,85.51,-9.295
242,50,55.52,55.8,49.9,49.8,65.35,65.1,74.07,73.8,71.87,65.2,55.29,55.73,59.98,15.12,45.89,-1.02,50.51,48.45,3.955,1.898,43.64,4.069,0.864,165.1,215.5,8,4.4,42,37.1,78.2,83.9,9.3,48,6,115.7,37.8,46.5,50,48,10.32,4.893,9.8,20,0,114.9,110.9,128.5,90.6,8.7,6,50,0,100,80,45,56,48,58.27,64.71,57.59,56.71,56.33,94.93,-9.224
244,50,55.48,55.6,49.77,50,65.35,65.1,73.98,73.9,71.91,65.16,55.21,55.69,59.39,14.27,46.43,-1.301,51.33,48.91,4.33,1.901,43.57,4.143,0.8487,165,215.9,7.8,4,42,37.1,77.9,83.4,9.5,48,6.2,115.7,37.8,46.8,51,49,15.23,7.295,9.675,20,0,114.5,110.7,130.5,92.6,8.8,5.8,50,0,100,80,45,56,48,58.27,64.95,57.55,56.71,51.21,103.9,-8.801
246,50,55.48,55.6,49.86,50,65.31,65.1,73.94,73.1,71.87,65.16,55.21,55.65,59.22,14.22,46.01,-1.017,50.63,48.2,3.964,1.534,42.09,4.229,0.8314,164.5,216,7.3,4.2,42.8,37.9,77.3,82.4,8.4,48.3,5.5,115.7,38.4,44,49,47,11.9,5.715,9.926,20,0,114.7,110.7,129,90,8.1,5.5,50,0,100,80,45,56,48,58.31,64.79,57.55,56.67,52.67,95.14,-7.824
248,50,55.73,56,50.14,50.1,65.22,65.1,73.7,73.6,71.62,65.12,55.46,55.86,57.65,14.12,44.27,-0.7302,50.4,47.97,3.606,1.168,42.99,4.123,0.8529,163.3,216.7,8.3,4.3,42,37.1,77.9,83.4,8.7,48.3,6.5,116.4,38.5,45.5,50,48,17.49,8.63,9.8,20,0,114.5,110.7,129,91,8.5,5.9,50,0,100,80,45,56,48,58.31,64.95,57.71,56.84,50.98,86.54,-13.64
250,50,55.73,56,50.14,50.3,65.35,65,73.78,73.6,71.75,65.16,55.54,55.9,57.54,13.88,44.96,-1.291,50.23,48.54,3.225,1.533,43.07,4.1,0.8575,163.8,215.9,8.3,4,42,37.1,77.6,82.9,9,48.5,6.3,116.4,38.8,45.7,50,48,17.36,8.58,9.8,20,0,114.5,110.5,128.5,90.5,8.5,5.7,50,0,100,80,45,56,48,58.35,64.99,57.84,56.88,50.12,77.4,-13.04
252,50,55.85,56,50.18,50.3,65.35,65.1,73.78,73.5,71.75,65.16,55.54,55.94,58.16,14.03,45.44,-1.305,50.91,48.12,3.59,0.7956,43.03,4.16,0.8453,165.5,215.7,8.3,3.7,42,37.1,77.9,82.4,9.2,48.5,6.7,116.2,38.5,45.5,50,48,17.53,8.573,9.8,20,0,114.2,110.5,129.5,91.3,8.5,5.7,50,0,100,80,45,56,48,58.35,64.83,58.21,57.12,51.94,79.6,-9.742
254,50,55.89,56.1,50.27,50.3,65.35,65.1,73.82,73.5,71.71,65.2,55.62,56.02,58.06,14.5,44.58,-1.016,50.39,47.97,3.579,1.16,43.04,4.116,0.8541,164.4,215,8.2,4.4,42.1,37.2,77.9,83.4,9.2,48.5,6.5,116.4,38.5,45.7,50,48,16.06,7.867,9.8,20,0,114.2,110.5,129.5,91.1,8.2,5.8,50,0,100,80,45,56,48,58.31,64.67,58.25,57.2,54.71,82.49,-12.49
256,50,55.89,56.1,50.27,50.3,65.35,65.3,73.82,73.8,71.71,65.2,55.62,55.98,58.43,14.59,44.87,-1.022,50.53,48.1,3.221,0.7954,43.01,4.131,0.8512,165.5,215.6,8.5,4.1,41.8,36.9,77.9,83.4,9.2,48.5,6.5,116.4,38.5,45.3,50,48,15.22,7.41,9.8,20,0,114,110.5,129,90.8,8.5,5.8,50,0,100,80,45,56,52,58.27,64.75,58.21,57.2,54.02,77.28,-11.94
258,50,55.93,56,50.27,50.4,65.43,65.8,73.9,74.1,71.79,65.24,55.62,56.02,55.62,13.89,42.98,-1.242,50.75,47.97,3.579,0.7931,43.37,4.115,0.8545,157.5,215,8.2,4.5,42.1,37.2,78.6,84.4,9.9,48.5,6.4,116.4,37.8,47.2,50,48,26.24,13.42,9.8,20,0,114,110.3,129.5,91.6,8.3,5.7,30,0,100,40,42,56,63,58.31,64.75,58,57.2,51.75,85.9,-18.28
260,50,54.05,54.2,50.55,50.8,66.66,65.8,72.63,71.2,70.6,61.39,53.86,54.26,40.34,13.73,62.17,-35.55,31.28,29.59,3.574,1.891,37.17,2.959,1.188,162,214.8,8.5,3.2,42.3,37.4,74.4,78,4.9,49.5,7.2,121.7,47.6,40.8,42,40,5.283,3.724,10.89,20,0,114.2,110.5,126.6,87.9,5.4,3.4,20,0,100,40,42,56,63,58.31,62.37,55.5,55.08,81.04,85.78,84.9
262,50,53.72,53.6,50.02,49.6,65.39,65,71.45,70.6,69,60.16,53.53,53.77,41.03,16.55,59.88,-35.39,33.45,31.75,2.131,0.4301,33.49,3.512,1.001,162.6,217,5.8,2.4,43.8,39.2,72.5,75,4.7,49.1,5.1,126,53.5,36.5,39,38,6.822,4.728,11.2,20,0,114.5,110.5,126.6,86.5,5.6,3.8,30,0,100,40,42,56,63,58.27,61.8,54.77,54.42,112.4,51.14,76.37
264,50,53.52,53.6,50.22,50,64.32,63.9,69.77,69.2,67.65,59.51,53.37,53.6,36.78,14.29,55.02,-32.54,29.47,28.15,2.111,0.793,34.06,3.042,1.156,162.1,215,7.2,3,42.9,38,71.9,74.5,5.1,49.5,6.6,128.7,56.8,36.5,40,39,8.37,6.473,11.04,20,0,114.5,110.5,126.1,87.1,5.2,3.5,30,0,100,40,42,56,63,58.27,61.27,54.6,54.13,114.3,50.66,79.18
266,50,53.06,53.2,49.73,49.5,63.75,63.4,69.24,68.7,67.16,59.02,52.92,53.19,37.29,14.11,55.38,-32.19,29.82,28.5,2.477,1.159,32.62,3.214,1.094,163.2,214.8,6.2,2.5,43.3,38.5,71.2,73,5,49.3,5.8,129,58.1,33.8,39,38,6.339,4.834,11.2,20,0,114.9,110.9,126.6,86.6,5.4,3.7,30,0,100,40,42,56,63,58.02,60.98,54.19,53.81,114.4,59.44,79.2
268,50,52.86,53,49.9,49.8,63.18,62.8,68.13,67.6,66.34,58.61,52.79,53.07,33.85,12.22,52.87,-31.24,26.6,26.01,2.483,1.897,32.28,2.897,1.214,164.1,215.5,7.1,2.3,42.9,38,69.9,71,4.1,49.5,6.3,130.4,60.5,33,38,37,6.775,5.692,11.36,20,0,115.3,110.9,123.6,87.1,4.8,3,30,0,100,40,42,56,57,57.69,60.7,54.03,53.64,97.75,59.59,83.34
270,50,52.82,53,49.9,49.8,62.85,62.5,67.76,67.5,65.97,58.44,52.71,53.03,33.33,12.13,51.1,-29.9,26.32,25.37,2.86,1.904,32.41,2.855,1.231,162.9,216.2,6.2,2.8,43.6,38.8,70.3,71.5,5.3,49.5,6,131.2,60.6,32.8,38,37,7.78,6.64,11.36,20,0,115.3,111.1,125.1,85.5,4.9,3.2,30,0,100,40,42,56,57,57.57,60.7,54.03,53.64,93.22,68.65,82.01
272,50,52.82,53,49.98,50,62.64,62.5,67.39,67.2,65.73,58.32,52.71,53.03,32.26,11.31,50.33,-29.38,25.63,24.67,2.866,1.907,31.99,2.817,1.248,163.1,216.6,6.7,2.3,43.2,38.3,69.5,70.5,5.2,49.5,6.2,132,62,32.5,38,37,8.693,7.665,11.36,20,0,115.7,111.3,126.6,87.1,4.7,3,30,0,100,40,42,56,57,57.49,60.57,53.99,53.6,88.08,68.78,83.12
274,50,52.82,52.8,49.9,50,62.6,62.3,67.35,67.2,65.69,58.28,52.71,52.99,32.41,11.37,50.57,-29.52,26.29,25.34,2.489,1.533,32.07,2.883,1.22,163.8,216,6.5,2.6,43.5,38.7,69.5,70.5,5.1,49.5,6.1,132,62.2,32.3,38,37,10.55,9.26,11.36,20,0,116,111.3,125.6,85.6,4.9,2.8,30,0,100,40,42,56,52,57.45,60.74,53.99,53.6,82.99,59.73,81.75
276,50,52.78,52.8,49.9,49.8,62.6,62.3,67.35,67.2,65.69,58.2,52.63,52.95,32,11.22,50.48,-29.7,25.76,24.45,2.84,1.524,32.05,2.826,1.244,161.8,214.6,6.3,2.7,43.5,38.7,69.9,71,5.7,49.5,5.9,131.7,61.8,32.2,38,37,10.12,8.994,11.36,20,0,116.2,111.3,127,87.2,4.9,3,30,0,100,40,42,56,52,57.37,60.57,53.95,53.56,84.03,68.15,83.42
278,50,52.74,53,49.98,50.1,62.52,62.3,67.19,66.8,65.56,58.24,52.67,52.99,31.62,11.01,49.64,-29.03,24.77,24.18,2.852,2.266,31.59,2.757,1.275,162.6,215.5,6.8,2.4,43.3,38.5,69.2,70,4.8,49.6,6.4,132,63.4,31.3,37,36,7.515,6.761,11.53,20,0,116.4,111.6,124.1,84.9,4.5,2.9,30,0,100,40,42,56,52,57.24,60.45,53.95,53.56,82.39,68.44,83.39
280,50,52.9,53,50.02,50.1,62.48,62.3,67.11,66.8,65.48,58.16,52.75,53.07,31.32,11,49.6,-29.28,25.8,24.48,2.843,1.525,31.77,2.855,1.231,162.5,214.9,6.5,2.4,43.6,38.8,69.2,70,5.3,49.6,6,132.9,63.4,32.2,37,36,12.38,11.24,11.53,20,0,116.7,111.8,127,84.3,4.5,3,30,0,100,40,42,56,52,57.08,60.61,54.03,53.64,74.7,68.24,82.3
282,50,52.9,53,50.06,50,62.56,62.3,67.19,67,65.52,58.24,52.75,53.03,31.36,11.29,49.4,-29.33,25.3,23.99,2.464,1.153,31.83,2.795,1.258,162.8,213.8,6.5,2.5,43.5,38.7,69.5,70.5,5,49.6,6,132.9,63.1,31.7,38,37,10.51,9.532,11.36,20,0,116.7,112,124.1,84.1,4.8,3,30,0,100,40,42,56,52,57,60.53,54.07,53.64,76.7,59.15,83.72
284,50,52.86,53,50.02,50,62.52,62.3,67.11,66.8,65.56,58.24,52.75,53.07,31.14,10.48,49.77,-29.1,25.48,24.52,2.848,1.896,31.84,2.813,1.25,163,215.3,6.5,2.7,43.8,39,69.5,70.5,5.7,49.6,6,132.3,63.1,31.7,38,37,11.92,10.89,11.36,20,0,116.9,112,126.6,86.8,4.5,2.9,30,0,100,40,42,56,52,56.88,60.57,54.15,53.68,68.02,68.36,82.7
286,50,52.9,53.2,50.02,50,62.48,62.3,67.15,66.8,65.52,58.2,52.75,53.03,31.56,10.99,49.55,-28.98,25.92,24.59,2.489,1.164,31.81,2.865,1.227,162.3,215.9,6.3,2.7,43.6,39,69.5,70.5,5.5,49.6,5.8,132.6,63.1,31.7,38,37,11.96,10.78,11.36,20,0,116.9,112.2,125.1,84.8,4.3,3.1,30,0,100,40,42,56,52,56.83,60.49,54.07,53.68,72.12,59.73,81.77
288,44,52.9,52.8,50.06,50,62.56,61.9,67.15,66.7,65.56,58.28,52.75,53.07,33.4,11.54,53.08,-31.22,25.41,24.1,2.841,1.524,34.79,2.568,1.369,174.9,214.8,8.2,4.4,41.8,36.9,71.2,73,7.4,49.6,8.1,132.9,61,36.4,44,42,6.695,5.701,10.6,20,0,116.9,112.2,124.6,86.4,4.9,2.8,60,100,100,84.66,44.97,56,20,56.79,60.53,54.4,53.68,74.07,68.19,95.5
290,44,54.21,54.5,47.24,46.3,63.34,64.7,73.29,76.5,70.85,63.48,53.08,54.38,68.39,16.8,50.64,0.9509,62.56,52.43,11.66,1.528,55.2,3.985,0.8822,165,215.3,5.1,6.4,41.3,36.4,82.9,91.8,14.6,45.8,4.5,117.6,34.5,55.7,66,63,34.71,14.44,8.116,20,0,117.1,112.2,131.5,94.3,11.7,8.1,60,100,100,82.63,44.76,56,20,56.79,65.9,65.78,59.54,44.29,44.84,-5.821
292,44,54.95,55.5,46.13,46.1,68.05,69.5,80.62,83,78.5,68.52,53.57,55.2,86.02,14.48,68.36,3.189,79.86,67.41,14.74,2.285,64.72,4.338,0.8104,164.3,217.4,4.6,6.9,41.5,36.6,89.9,104.2,15,44.8,3.5,112,22.1,67.8,77,74,43.06,14.24,7.045,20,0,116.7,112.2,134.5,94.6,13.5,9.5,60,100,100,80.59,44.56,56,20,56.83,72.32,66.84,60.85,22.44,59.02,2.282
294,44,56.75,57.7,47.28,47.7,71.73,72.8,85.49,87.2,83.42,72.08,55.33,57.08,93.46,14.1,77.04,2.331,85.19,72.45,15.74,3.005,70.47,4.25,0.8272,163.1,215.8,6.9,6.3,40.8,35.9,93.5,111.2,14.8,44.9,4.1,114.7,21.2,75.6,84,80,41.37,12.59,6.496,20,0,116.7,112,134.5,97.9,14.2,10,60,100,100,78.56,44.36,56,20,56.92,76.46,68.44,62.57,17.31,64.34,9.71
296,44,59.08,59.9,49.32,49.8,75.01,76.4,89.09,90.7,86.86,74.74,57.67,59.42,96.31,15.31,82.85,-1.854,88.7,75.83,15.91,3.037,74.48,4.187,0.8397,164.1,218.1,8.2,6,41.5,36.6,96.7,117.6,14.4,46.3,4.7,118.1,21.6,79.7,88,84,47.73,14.1,6.14,20,0,116,112,136,98.6,14.2,10.1,60,100,100,76.53,44.15,56,20,57,79.41,70.49,64.57,16.39,64.57,13.92
298,44,61.09,61.9,51.29,51.9,78.29,79.4,92.53,94.3,89.97,76.75,59.71,61.34,93.9,16.91,87.14,-10.15,88.08,75.72,14.63,2.267,76.95,4.025,0.8736,158.2,215.7,9.3,4.2,42.6,37.7,98.5,121.1,13.2,48,5.4,122.2,24,83.4,92,88,56.51,17.12,5.791,20,0,116,112.2,136.5,98.3,14.8,10,60,0,100,35,42,56,25.03,57.08,82.03,72.21,66.46,16.27,61.06,20.72
300,44,58.63,57.9,50.47,49.8,85.12,85.4,97.69,98.4,93.49,71.63,57.42,58.48,85.52,28.6,148.7,-91.83,73.04,62.2,9.436,-1.407,75.71,3.392,1.037,163.3,214.8,7.2,3.2,42.6,37.7,101.6,127.6,11.1,47.5,4.7,129,27.1,89.7,90,86,31.85,10.59,5.964,20,0,116.2,112.2,139.4,100.7,12.8,8.1,60,0,100,35,42,56,32.23,57.16,81.21,64.88,62.08,28.55,80.83,95.02
302,44,56.63,56.3,48.75,48,85.57,85.1,98.43,98.4,93.82,70.64,55.7,56.63,86.8,31.15,156.5,-100.8,70.85,62.53,8.381,0.05902,76.66,3.249,1.082,162.1,215.9,5.9,3.4,42.3,37.4,101.8,128,10.4,46.4,4.3,131.2,29.6,90.2,91,87,20.59,6.746,5.877,20,0,116.7,112.4,137.5,99.6,13.3,8.1,60,0,100,35,42,56,28.44,57.16,79.41,63.08,60.03,33.61,66,97.29
304,44,55.4,55.2,47.48,46.8,85.53,85.4,98.51,98.4,94.1,70.07,54.56,55.49,87.75,29.81,162.5,-104.5,71.33,63.73,8.394,0.7976,77.21,3.248,1.082,162.3,216.2,5,2.9,42,37.1,101.3,127.1,10.4,45.4,3.4,130.9,29.9,90.5,92,88,19.48,6.315,5.791,20,0,116.9,112.4,138.5,101.7,13.1,8.2,60,0,100,35,42,56,32.64,57.08,80.35,62.01,58.88,30.74,64.38,98.62
306,44,54.74,54.5,46.79,46.4,85.49,85.1,98.55,98.4,94.1,69.78,53.86,54.83,88.19,30.05,164.2,-106.1,71.4,63.47,8.727,0.7938,77.8,3.227,1.09,162.1,215.3,4.9,3.4,41.5,36.6,101.8,128,10.4,45.1,3.6,130.9,29.1,91,93,89,18.78,6.056,5.704,20,0,117.6,112.7,138,101.1,13.1,7.9,60,0,100,35,42,56,28.84,57.12,80.55,61.44,58.23,30.77,65.22,99.43
308,44,54.33,54.2,46.5,46.3,85.37,85.3,98.39,98,94.1,69.54,53.49,54.5,88.9,29.27,167.7,-108.1,70.37,62.8,9.104,1.531,77.44,3.195,1.1,163.9,215.6,4.8,3.8,41.5,36.6,101.8,128,11,44.6,3.3,131.2,29.4,92.1,92,88,12.3,3.934,5.791,20,0,117.8,112.9,139.4,102,12.9,7.9,60,0,100,35,42,56,33.04,57.04,80.88,61.19,57.9,29.46,66.35,102.5
310,44,54.17,54.2,46.38,46.3,85.33,85.1,98.35,98,94.06,69.46,53.37,54.38,88.44,29.11,167.1,-107.8,70.34,63.1,9.147,1.907,76.98,3.213,1.094,163,216.6,4.6,5.1,41.5,36.6,102.9,131,11.9,44.6,3.3,131.2,28.3,94.7,92,88,13.36,4.296,5.791,20,0,118.1,113.1,138.5,101.3,12.9,8.1,60,0,100,35,42,56,29.24,57.04,81.05,61.03,57.78,29.11,67.5,101.5
312,44,54.13,54.4,46.33,45.9,85.29,84.9,98.22,97.9,93.94,69.38,53.29,54.34,88.36,29.27,167.8,-108.7,70.01,62.44,9.473,1.898,77.06,3.194,1.101,163.9,215.6,5.1,4.8,41.2,36.3,102.7,130,12.4,44.4,3.4,131.2,28.1,94.2,91,87,12.56,4.043,5.877,20,0,118.5,113.3,138,100.9,13,8.1,70,0,100,35,42,56,29.44,57,80.8,61.07,57.74,29.51,68.18,102.9
314,44,54.17,54.2,46.38,46.3,85.21,84.9,98.1,97.7,93.86,69.33,53.25,54.34,87.51,28.8,166.4,-107.7,70.31,61.96,9.882,1.537,76.78,3.22,1.092,162.9,216.5,5.1,5.2,41.2,36.3,102.9,130.5,12.1,44.4,3.2,131.5,28.3,94.2,91,87,16.32,5.304,5.877,20,0,118.5,113.3,139.4,102.7,12.6,7.9,60,0,100,35,42,56,29.64,56.96,81.05,61.4,57.9,28.7,67.8,102.2
316,44,54.25,54.4,46.46,46.3,85.29,84.9,98.18,97.9,93.94,69.42,53.33,54.42,86.91,28.61,165.3,-107,69.93,61.63,9.828,1.529,76.95,3.195,1.1,161.7,215.3,5.4,5,41,36.1,102.9,130.5,12.1,44.4,3.2,131.2,28.6,93.9,92,88,17.24,5.643,5.791,20,0,118.5,113.6,138.5,101.8,13,8.1,60,0,100,35,42,56,29.84,56.92,81.25,61.24,57.86,28.21,69.88,101.4
318,44,54.21,54.2,46.46,46.4,85.25,84.9,98.1,97.9,93.86,69.42,53.37,54.38,87.01,28.73,165.4,-107.2,69.33,61.79,9.063,1.524,76.88,3.171,1.109,162.5,214.6,5.1,5.2,41.2,36.3,103.1,131,12.4,44.4,3.4,131.5,28.1,94.4,91,87,14.7,4.805,5.877,20,0,118.8,113.6,138,100.8,12.8,7.9,60,0,100,35,42,56,30.04,56.92,81.13,61.15,57.82,28.48,65.24,101.8
320,44,54.21,54.4,46.46,46.3,85.25,84.9,98.14,97.9,93.9,69.42,53.37,54.38,87.43,28.78,166,-107.3,69.91,62.31,9.139,1.536,76.62,3.208,1.096,162.7,216.4,5.1,5,41.2,36.3,102.9,130.5,12.1,44.4,3.2,131.5,28.6,94.2,91,87,15.01,4.883,5.877,20,0,119,113.8,138.5,101.4,13,8.1,60,0,100,35,42,56,30.25,56.83,81.13,61.07,57.78,28.43,66.6,101.6
322,44,54.17,54.4,46.46,46.3,85.25,84.9,98.1,97.7,93.9,69.38,53.33,54.34,87.16,28.5,166.3,-107.6,69.31,61.73,9.109,1.532,76.65,3.179,1.106,162.7,215.7,5.1,5.4,41.2,36.3,102.9,131,12.1,44.4,3.2,131.5,28.6,94.7,91,87,13.87,4.525,5.877,20,0,119,113.6,138.5,101.8,12.6,8.1,60,0,100,35,42,56,30.45,56.83,81.17,60.95,57.7,28.11,67.22,102.3
324,44,54.13,54.2,46.42,46.1,85.25,84.9,98.1,97.7,93.82,69.38,53.29,54.34,86.96,28.99,165.3,-107.4,69.54,61.94,9.509,1.906,76.95,3.177,1.107,162.4,216.4,5.3,5.2,41,36.1,102.9,130.5,12.1,44.4,3.4,131.5,28.6,94.2,91,87,15.69,5.132,5.877,20,0,119.2,113.8,137.5,100.9,12.8,7.9,60,0,100,35,42,56,30.65,56.88,81,60.91,57.7,28.84,71.06,101.5
326,44,54.09,54.2,46.29,46.1,85.12,84.9,98.02,97.7,93.82,69.29,53.2,54.22,87.94,28.67,167.2,-108,70.15,62.19,9.122,1.165,76.54,3.222,1.091,163.7,216,5.3,5.2,41,36.1,102.9,130.5,12,44.3,3.1,131.2,28.8,93.9,90,86,13.98,4.52,5.964,20,0,119.2,113.8,138.5,101.8,12.8,7.9,60,0,100,35,42,56,30.85,56.83,81,60.7,57.53,28.47,69.05,102.8
328,45,54.05,54.1,46.25,46.1,85.25,86.6,98.02,97.9,93.82,69.29,53.16,54.14,86.94,28.61,166.9,-108.6,70.26,62.29,8.768,0.798,74.06,3.336,1.054,163.4,216.3,4.6,5,41.5,36.6,102.9,130.5,12.4,44.4,2.9,131.2,28.3,94.6,84,80,15.4,5.037,6.496,20,0,119.2,113.8,133.5,96.1,10.6,8,50,0,100,20,42,56,41,56.79,81.21,60.25,57.49,28.13,76.21,102.4
330,45,50.94,50.1,45.23,44.3,88.36,88,98.43,97.9,93.32,61.76,50.09,50.94,68.38,34.66,214.3,-180.6,51.15,43.59,7.618,0.05936,67.12,2.679,1.312,163,215.1,4.1,3.9,40.3,35.3,101.8,128,9.7,43.8,3.4,136.8,35,92.6,78,75,6.532,2.717,6.952,20,0,119.5,114,137,100.4,9.9,5.7,70,0,100,20,42,56,41,56.75,78.02,56.77,53.81,39.12,61.65,129.8
332,45,48.85,48.5,43.63,43.8,87.62,86.8,97.2,94.6,92.59,59.71,48.05,48.98,65.04,31.32,223.2,-189.5,46.78,39.58,8.358,1.161,39.88,4.123,0.8527,163,215.3,0,0,45.1,40.6,91,106.2,0.5,43.6,0,137.1,46.1,64.9,33,32,-24.35,-10.65,12.25,20,0,119.7,113.8,138.5,97.2,7.8,4.7,70,0,100,20,42,56,41,56.67,77.28,55.58,52.62,36.48,67.64,134.1
334,45,50.49,50.8,46.33,46.1,83.81,83.3,91.22,90.8,87.96,59.79,49.81,50.78,50.42,22.2,191.7,-163.4,37.27,31.17,8.735,2.633,54.51,2.404,1.463,163.3,215.5,5.5,3.8,40.8,35.9,94.5,113.7,8,45.1,4.5,141,46.5,77.9,61,59,8.288,4.676,8.534,20,0,119.7,114,135,98.4,7.8,4.5,50,0,100,20,42,56,23,56.67,77.93,55.22,53.27,25.05,107.9,136.8
336,45,49.95,50,45.43,45.3,84.96,85.1,92.78,93,89.64,59.59,49.31,50.16,53.13,21.33,204.2,-172.4,40.53,34.8,7.622,1.895,53.28,2.674,1.315,163.1,215.3,4.1,2.7,41.2,36.3,95.7,115.6,8.7,44.4,2.9,137.1,41.7,79.5,61,59,8.977,4.806,8.534,20,0,119.7,113.8,135,97.8,7.9,4.7,70,0,100,20,42,56,26,56.71,80.55,56.12,53.03,21.47,59.23,135.3
338,45,50.16,50.4,45.72,45.8,85.12,84.8,92.74,92.5,89.68,59.71,49.4,50.41,51.53,20.69,202.8,-172,39.98,33.12,9.135,2.274,52.58,2.674,1.315,162.4,216.3,4.8,2.5,40.8,35.8,95,114.2,8.3,44.8,4,137.8,42.5,78.9,61,59,11.98,6.613,8.534,20,0,119.7,113.8,135.5,98.3,7.7,4.8,60,0,100,20,42,56,23,56.71,79.78,56.81,53.77,21.53,71.93,135.9
340,45,50.61,50.6,46.09,45.9,85.12,84.9,92.74,92.6,89.64,60,49.85,50.78,51.76,21.06,201.5,-170.8,40.42,33.61,8.334,1.524,53.69,2.647,1.328,163.1,214.7,5.1,3.1,40.8,35.9,95.7,115.6,8.7,45.1,4.3,138.4,42.7,79.5,61,59,13.83,7.601,8.534,20,0,119.9,114.2,135.5,97.9,7.5,4.5,60,0,100,20,42,56,26,56.79,80.02,55.5,53.64,21.76,107.5,135.9
342,45,50.32,50.3,45.84,45.6,85.25,84.9,92.9,92.8,89.76,60,49.68,50.45,51.9,21.29,201.8,-171.2,40.27,34.53,6.906,1.164,53.17,2.663,1.32,162.7,215.8,4.8,2.9,41,36.1,95.7,115.6,8.5,44.8,3.8,138.4,42.4,79.5,61,59,12.26,6.719,8.534,20,0,119.9,114.2,134.5,97.4,7.9,4.5,60,0,100,20,42,56,26,56.79,79.9,54.97,52.91,22.11,80.27,134.9
